system,ucl_id,operator_intid,operator_altid,operator_name,notes,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,updated_dt_nonzerobikes,operator_status,operator_installflag,operator_lockflag,operator_tempflag,geometry
london,1,1,1,"River Street , Clerkenwell",NA,1,19,1,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.109971, 51.529163)"
london,2,2,2,"Phillimore Gardens, Kensington",NA,23,37,21,37,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.197574, 51.499607)"
london,3,3,3,"Christopher Street, Liverpool Street",NA,21,32,28,32,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.084606, 51.521284)"
london,4,4,4,"St. Chad's Street, King's Cross",NA,13,23,3,23,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.120974, 51.530059)"
london,5,5,5,"Sedding Street, Sloane Square",NA,2,27,14,27,2011-06-29T15:40:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.156876, 51.49313)"
london,6,6,6,"Broadcasting House, Marylebone",NA,18,18,16,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.144229, 51.518118)"
london,7,7,7,"Charlbert Street, St. John's Wood",NA,1,16,1,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.168074, 51.5343)"
london,8002,0,0,"Maida Vale, Maida Vale",NA,1,39,17,39,2018-10-31T11:10:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.183486, 51.529857)"
london,8001,8,8,"Lodge Road, St. John's Wood",NA,4,18,0,18,2010-08-06T01:00:00Z,2018-09-24T11:30:02Z,2018-09-24 08:24:01,NA,1,0,0,"c(-0.170134, 51.528341)"
london,9,9,9,"New Globe Walk, Bankside",NA,17,19,13,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.096441, 51.507385)"
london,10,10,10,"Park Street, Bankside",NA,16,18,4,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.092754, 51.505974)"
london,11,11,11,"Brunswick Square, Bloomsbury",NA,15,24,13,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.122502, 51.523951)"
london,12,12,12,"Malet Street, Bloomsbury",NA,25,40,21,49,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.130432, 51.521681)"
london,13,13,13,"Scala Street, Fitzrovia",NA,14,21,19,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.13604, 51.519915)"
london,14,14,14,"Belgrove Street , King's Cross",NA,5,21,6,48,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.123617, 51.529944)"
london,15,15,15,"Great Russell Street, Bloomsbury",NA,18,26,24,26,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.127854, 51.517727)"
london,16,16,16,"Cartwright Gardens , Bloomsbury",NA,2,22,13,22,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.125979, 51.526358)"
london,17,17,17,"Hatton Wall, Holborn",NA,12,26,17,26,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.109006, 51.521661)"
london,18,18,18,"Drury Lane, Covent Garden",NA,24,27,19,27,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.12222, 51.514771)"
london,19,19,19,"Taviton Street, Bloomsbury",NA,15,30,9,30,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.131161, 51.525051)"
london,20,0,0,"Drummond Street , Euston",NA,0,28,1,28,2018-12-13T09:14:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.136053, 51.527326)"
london,21,21,21,"Hampstead Road (Cartmel), Euston",NA,0,16,4,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.138846, 51.530078)"
london,22,22,22,"Northington Street , Holborn",NA,19,19,13,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.114079, 51.522264)"
london,23,23,23,"Red Lion Square, Holborn",NA,9,16,12,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.119123, 51.519435)"
london,24,24,24,"British Museum, Bloomsbury",NA,26,35,19,35,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.124678, 51.51908)"
london,25,25,25,"Doric Way , Somers Town",NA,1,31,3,50,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.13225, 51.528834)"
london,26,26,26,"Ampton Street , Clerkenwell",NA,14,21,0,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 13:50:02,NA,1,0,0,"c(-0.118295, 51.527281)"
london,27,27,27,"Bouverie Street, Temple",NA,16,18,3,33,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.107928, 51.513821)"
london,28,28,28,"Bolsover Street, Fitzrovia",NA,9,19,13,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.143614, 51.523518)"
london,29,29,29,"Hereford Road, Bayswater",NA,0,22,3,22,2011-06-29T15:40:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.193487, 51.513735)"
london,30,30,30,"Windsor Terrace, Hoxton",NA,17,24,3,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.093422, 51.529154)"
london,31,31,31,"Fanshaw Street, Hoxton",NA,12,34,2,36,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.083353, 51.529537)"
london,32,32,32,"Leonard Circus , Shoreditch",NA,17,21,39,43,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.084439, 51.524696)"
london,33,33,33,"Central House, Aldgate",NA,1,18,3,18,2016-05-11T16:16:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.070056, 51.5156)"
london,34,34,34,"Pancras Road, King's Cross",NA,3,16,2,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.129387, 51.534124)"
london,35,0,0,"St. George Street, Mayfair",Added from csv snapshot file s9_201008,15,18,15,18,2010-08-06T01:00:00Z,2010-08-06T01:00:00Z,2010-08-06 01:00:00,NA,1,0,0,"c(-0.142783, 51.51196)"
london,36,36,36,"De Vere Gardens, Kensington",NA,9,29,3,28,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.184981, 51.501737)"
london,37,37,37,"Penywern Road, Earl's Court",NA,5,17,6,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.192369, 51.491594)"
london,38,38,38,"Abingdon Villas, Kensington",NA,10,17,14,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.197246, 51.497388)"
