"","stationId","date","hour","low_avail_count"
"1","1",2018-05-31,7,5
"2","1",2018-05-31,8,6
"3","1",2018-05-31,9,6
"4","1",2018-05-31,10,2
"5","1",2018-05-31,11,0
"6","1",2018-05-31,12,0
"7","1",2018-05-31,13,0
"8","1",2018-05-31,14,0
"9","1",2018-05-31,15,0
"10","1",2018-05-31,16,0
"11","1",2018-05-31,17,0
"12","1",2018-05-31,18,0
"13","1",2018-05-31,19,0
"14","1",2018-05-31,20,0
"15","1",2018-05-31,21,0
"16","1",2018-06-06,7,6
"17","1",2018-06-06,8,6
"18","1",2018-06-06,9,0
"19","1",2018-06-06,10,4
"20","1",2018-06-06,11,0
"21","1",2018-06-06,12,0
"22","1",2018-06-06,13,0
"23","1",2018-06-06,14,0
"24","1",2018-06-06,15,0
"25","1",2018-06-06,16,0
"26","1",2018-06-06,17,0
"27","1",2018-06-06,18,0
"28","1",2018-06-06,19,0
"29","1",2018-06-06,20,0
"30","1",2018-06-06,21,0
"31","1",2018-06-13,7,0
"32","1",2018-06-13,8,1
"33","1",2018-06-13,9,6
"34","1",2018-06-13,10,2
"35","1",2018-06-13,11,0
"36","1",2018-06-13,12,0
"37","1",2018-06-13,13,0
"38","1",2018-06-13,14,0
"39","1",2018-06-13,15,0
"40","1",2018-06-13,16,0
"41","1",2018-06-13,17,0
"42","1",2018-06-13,18,0
"43","1",2018-06-13,19,0
"44","1",2018-06-13,20,0
"45","1",2018-06-13,21,0
"46","1",2018-09-13,7,0
"47","1",2018-09-13,8,3
"48","1",2018-09-13,9,6
"49","1",2018-09-13,10,6
"50","1",2018-09-13,11,6
"51","1",2018-09-13,12,6
"52","1",2018-09-13,13,1
"53","1",2018-09-13,14,0
"54","1",2018-09-13,15,0
"55","1",2018-09-13,16,0
"56","1",2018-09-13,17,0
"57","1",2018-09-13,18,0
"58","1",2018-09-13,19,0
"59","1",2018-09-13,20,0
"60","1",2018-09-13,21,0
"61","1",2018-09-20,7,2
"62","1",2018-09-20,8,6
"63","1",2018-09-20,9,3
"64","1",2018-09-20,10,6
"65","1",2018-09-20,11,6
"66","1",2018-09-20,12,6
"67","1",2018-09-20,13,3
"68","1",2018-09-20,14,0
"69","1",2018-09-20,15,0
"70","1",2018-09-20,16,0
"71","1",2018-09-20,17,0
"72","1",2018-09-20,18,0
"73","1",2018-09-20,19,0
"74","1",2018-09-20,20,2
"75","1",2018-09-20,21,1
"76","1",2018-10-04,7,1
"77","1",2018-10-04,8,5
"78","1",2018-10-04,9,6
"79","1",2018-10-04,10,6
"80","1",2018-10-04,11,6
"81","1",2018-10-04,12,6
"82","1",2018-10-04,13,4
"83","1",2018-10-04,14,0
"84","1",2018-10-04,15,0
"85","1",2018-10-04,16,0
"86","1",2018-10-04,17,3
"87","1",2018-10-04,18,5
"88","1",2018-10-04,19,3
"89","1",2018-10-04,20,0
"90","1",2018-10-04,21,0
"91","1",2018-10-12,7,0
"92","1",2018-10-12,8,4
"93","1",2018-10-12,9,6
"94","1",2018-10-12,10,6
"95","1",2018-10-12,11,6
"96","1",2018-10-12,12,6
"97","1",2018-10-12,13,6
"98","1",2018-10-12,14,6
"99","1",2018-10-12,15,6
"100","1",2018-10-12,16,6
"101","1",2018-10-12,17,5
"102","1",2018-10-12,18,0
"103","1",2018-10-12,19,6
"104","1",2018-10-12,20,6
"105","1",2018-10-12,21,6
"106","1",2018-10-19,7,6
"107","1",2018-10-19,8,6
"108","1",2018-10-19,9,6
"109","1",2018-10-19,10,3
"110","1",2018-10-19,11,0
"111","1",2018-10-19,12,0
"112","1",2018-10-19,13,0
"113","1",2018-10-19,14,0
"114","1",2018-10-19,15,0
"115","1",2018-10-19,16,0
"116","1",2018-10-19,17,0
"117","1",2018-10-19,18,0
"118","1",2018-10-19,19,0
"119","1",2018-10-19,20,0
"120","1",2018-10-19,21,0
"121","10",2018-05-31,7,0
"122","10",2018-05-31,8,6
"123","10",2018-05-31,9,3
"124","10",2018-05-31,10,0
