id,operator_name
"1","River Street , Clerkenwell"
"2","Phillimore Gardens, Kensington"
"3","Christopher Street, Liverpool Street"
"3","Christopher Street, Liverpool Street"
"3","Christopher Street, Liverpool Street"
"4","St. Chad's Street, King's Cross"
"4","St. Chad's Street, King's Cross"
"5","Sedding Street, Sloane Square"
"6","Broadcasting House, Marylebone"
"7","Charlbert Street, St. John's Wood"
"9","New Globe Walk, Bankside"
"10","Park Street, Bankside"
"11","Brunswick Square, Bloomsbury"
"11","Brunswick Square, Bloomsbury"
"12","Malet Street, Bloomsbury"
"13","Scala Street, Fitzrovia"
"13","Scala Street, Fitzrovia"
"14","Belgrove Street , King's Cross"
"14","Belgrove Street , King's Cross"
"15","Great Russell Street, Bloomsbury"
"16","Cartwright Gardens , Bloomsbury"
"17","Hatton Wall, Holborn"
"18","Drury Lane, Covent Garden"
"19","Taviton Street, Bloomsbury"
"20","Drummond Street , Euston"
"21","Hampstead Road (Cartmel), Euston"
"22","Northington Street , Holborn"
"23","Red Lion Square, Holborn"
"24","British Museum, Bloomsbury"
"25","Doric Way , Somers Town"
"26","Ampton Street , Clerkenwell"
"26","Ampton Street , Clerkenwell"
"27","Bouverie Street, Temple"
"28","Bolsover Street, Fitzrovia"
"29","Hereford Road, Bayswater"
"30","Windsor Terrace, Hoxton"
"31","Fanshaw Street, Hoxton"
"32","Leonard Circus , Shoreditch"
"33","Central House, Aldgate"
"34","Pancras Road, King's Cross"
"36","De Vere Gardens, Kensington"
"36","De Vere Gardens, Kensington"
"37","Penywern Road, Earl's Court"
"38","Abingdon Villas, Kensington"
"39","Shoreditch High Street, Shoreditch"
"40","Commercial Street, Shoreditch"
"41","Pindar Street, Liverpool Street"
"41","Pindar Street, Liverpool Street"
"41","Pindar Street, Liverpool Street"
"42","Wenlock Road , Hoxton"
"43","Crawford Street, Marylebone"
"44","Bruton Street, Mayfair"
"44","Bruton Street, Mayfair"
"44","Bruton Street, Mayfair"
"45","Boston Place, Marylebone"
"45","Boston Place, Marylebone"
"46","Nesham Street, Wapping"
"47","Warwick Avenue Station, Maida Vale"
"48","Godliman Street, St. Paul's"
"48","Godliman Street, St. Paul's"
"49","Curzon Street, Mayfair"
"49","Curzon Street, Mayfair"
"50","East Road, Hoxton"
"51","Finsbury Library , Finsbury"
"52","Roscoe Street, St. Luke's"
"52","Roscoe Street, St. Luke's"
